statusCode,status,statusColor,adminStatusName,adminStatusSlug,adminStatusTab,adminStatusAction,adminEmailSubject,adminEmailContent,clientStatusName,clientStatusSlug,clientStatusTab,clientStatusAction,clientEmailSubject,clientEmailContent,emailToRoles,adminVisible,clientVisible,estTime,buttonText,buttonLink,modalAdmin,modalClient,modalAutoRedirectAdmin,modalAutoRedirectClient,createdAt,updatedAt
65,,"rgb(67, 189, 255)",Deposit Viewed,,deposit,,,,Submit 50% Deposit,,deposit,Please pay the deposit for <b>{{PROJECT_ADDRESS}}</b>. {{PROJECT_LINK?status=deposit}},,,"[""Admin"",""Staff"",""Client""]",,,,,/dashboard,,,/project/dashboard,,2025-09-07T23:49:38.39443+00:00,2025-09-07T23:49:38.39443+00:00
70,,"rgb(73, 183, 255)",Deposit Paid,,documents,Deposit has been submit for <b>{{PROJECT_ADDRESS}}</b>. Please submit documents to {{PROJECT_LINK?status=documents}},Deposit Paid → {{PROJECT_ADDRESS}},Deposit paid for <b>{{PROJECT_ADDRESS}}</b> by <b>{{CLIENT_NAME}}</b>. Begin work on deliverables ASAP.,Generating Documents,,documents,<b>{{GLOBAL_COMPANY_NAME}}</b> is generating your documents for <b>{{PROJECT_ADDRESS}}</b>.,Deposit Successfully Paid → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
Deposit has been successfully paid for <b>{{PROJECT_ADDRESS}}</b>. {{GLOBAL_COMPANY_NAME}} will email you in <b>{{PROJECT_EST_TIME}}</b> with your project documents for review. 
<br/><br/>
Thank you for your business!","[""Admin"",""Staff"",""Client""]",,,,,,,Deposit successfully paid for <b>{{PROJECT_ADDRESS}}</b>. You will be emailed at <b>{{CLIENT_EMAIL}}</b> in <b>{{PROJECT_EST_TIME}}</b> when your project documents for available review. ,,/project/{{PROJECT_ID}}?status=deliverables,2025-09-07T19:55:47.102903+00:00,2025-09-07T19:55:47.102903+00:00
100,,"rgb(109, 147, 255)",Generate Documents,,documents,Deposit has been submit for <b>{{PROJECT_ADDRESS}}</b>. Please submit documents to {{PROJECT_LINK?status=documents}},Begin Generating Documents → {{PROJECT_ADDRESS}},,Generating Documents,,documents,<b>{{GLOBAL_COMPANY_NAME}}</b> is generating your documents for <b>{{PROJECT_ADDRESS}}</b>.,Document Generation Started → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
We are preparing detailed submittal documents for <b>{{PROJECT_ADDRESS}}</b>. You will be notified in <b>{{EST_TIME}}</b>.","[""Admin"",""Staff"",""Client""]",,,5-7 business days,,/dashboard,,,/project/dashboard,/project/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
110,,"rgb(121, 135, 255)",Submittals Sent ,,documents,,,,Approve Documents,,documents,"Approve or request edit(s) to documents for <b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=final-documents}}
",Document Generation Finished → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
Your submittal documents for <b>{{PROJECT_ADDRESS}}</b> have been completed and sent for review.","[""Admin"",""Staff"",""Client""]",,,1 business day,View / Approve Your Documents,/dashboard,Documents ready email for <b>{{PROJECT_ADDRESS}}</b> successfully sent to <b>{{CLIENT_EMAIL}}</b>.generateProposal,,/project/dashboard,/project/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
115,,"rgb(127, 128, 255)",Submittals Opened,,documents,,,,Approve Documents,,,"Approve or request edit(s) to documents for <b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=final-documents}}
",,,"[""Admin"",""Staff"",""Client""]",,,,,/dashboard,,,/project/dashboard,/dashboard,2025-09-08T00:14:28.970001+00:00,2025-09-08T00:14:28.970001+00:00
120,,"rgb(134, 123, 255)",Submittals Viewed,,,,,,Approve Documents,,,"Approve or request edit(s) to documents for <b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=final-documents}}
",,,"[""Admin"",""Staff"",""Client""]",,,1-2 business days,,,,,/project/dashboard,/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
130,,"rgb(146, 111, 255)",Submittals Approved,,,,,,Pay Final 50% Invoice,,,Please pay the final 50% invoice for<b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=final-invoice}},Documents Approved → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
Thank you for signing off on the submittals for <b>{{PROJECT_ADDRESS}}</b>. Your final documents will be delivered in <b>{{PROJECT_EST_TIME}}</b>.","[""Admin"",""Staff"",""Client""]",,,1 business day,,,,,/project/dashboard,/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
140,,"rgb(158, 99, 255)",Generating Final Invoice,,,,,,Pay Final 50% Invoice,,,Please pay the final 50% invoice for<b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=final-invoice}},,,"[""Admin"",""Staff"",""Client""]",,,1-2 business days,,,,,/project/dashboard,/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
150,,"rgb(170, 87, 255)",Final Invoice Sent,,,,Final Invoice Sent → {{PROJECT_ADDRESS}},Final invoice has been sent to <b>{{CLIENT_NAME}}</b> for <b>{{PROJECT_ADDRESS}}</b>.,Pay Final 50% Invoice,,,Please pay the final 50% invoice for<b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=final-invoice}},Final Invoice → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
The final invoice has been generated for <b>{{PROJECT_ADDRESS}}</b>. Please review and process payment through your project dashboard.","[""Admin"",""Staff"",""Client""]",,,1 business day,,/project/{{PROJECT_ID}}?status=final-invoice,,,/project/dashboard,/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
155,,"rgb(176, 80, 255)",Final Invoice Opened,,,,,,Pay Final 50% Invoice,,,Please pay the final 50% invoice for<b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=final-invoice}},,,"[""Admin"",""Staff"",""Client""]",,,,,/dashboard,,,/project/dashboard,/dashboard,2025-09-07T23:58:21.697503+00:00,2025-09-07T23:58:21.697503+00:00
160,,"rgb(182, 75, 255)",Final Invoice Viewed,,,,,,Pay Final 50% Invoice,,,Please pay the final 50% invoice for<b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=final-invoice}},,,"[""Admin"",""Staff"",""Client""]",,,1-2 business days,,/dashboard,,,/project/dashboard,/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
170,,"rgb(194, 63, 255)",Final Invoice Paid,,,,"Final Invoice Paid → {{PROJECT_ADDRESS}}
",Final invoice paid for{{PROJECT_ADDRESS}} by {{CLIENT_NAME}}. Please prepare final documents in {{EST_TIME}} or less.,Stamping Final Documents,,,<b>{{GLOBAL_COMPANY_NAME}}</b> is stamping your final documents for <b>{{PROJECT_ADDRESS}}</b>.,Final Invoice Paid → {{PROJECT_ADDRESS}},"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
Thank you for the final payment for <b>{{PROJECT_ADDRESS}}</b>. Preparation of your final documents has commenced.","[""Admin"",""Staff"",""Client""]",,,1 business day,,/dashboard,,,/project/dashboard,/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
180,,"rgb(206, 51, 255)",Generating Final Deliverables,,,,,,Stamping Final Documents,,,<b>{{GLOBAL_COMPANY_NAME}}</b> is stamping your final documents for <b>{{PROJECT_ADDRESS}}</b>.,Document Stamping Started → {{PROJECT_ADDRESS}},,"[""Admin"",""Staff"",""Client""]",,,3-5 business days,,/dashboard,,,/project/dashboard,/project/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
190,,"rgb(218, 39, 255)",Stamping Final Deliverables,,,,,,Download Stamped Documents,,,Download your stamped documents for <b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=final-documents}},Document Stamping Finished → {{PROJECT_ADDRESS}},,"[""Admin"",""Staff"",""Client""]",,,1-2 business days,,/dashboard,,,/project/dashboard,/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
200,Completed,"rgb(231, 27, 255)",Final Deliverables Sent,,,,,,Download Stamped Documents,,,Download your stamped documents for <b>{{PROJECT_ADDRESS}}</b>.{{PROJECT_LINK?status=final-documents}},,"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
Your final project deliverables for <b>{{PROJECT_ADDRESS}}</b> have been completed and are available for download in your dashboard.","[""Admin"",""Staff"",""Client""]",,,1 business day,,/dashboard,,,/project/dashboard,/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
210,Completed,"rgb(243, 15, 255)",Deliverables Viewed,,,,,,Download Stamped Documents,,,Download your stamped documents for <b>{{PROJECT_ADDRESS}}</b>. {{PROJECT_LINK?status=final-documents}},,,"[""Admin"",""Staff"",""Client""]",,,1-2 business days,,/dashboard,,,/project/dashboard,/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
220,Completed,"rgb(255, 0, 255)",Project Complete,,,,,,Project Completed,,,,,"{{CLIENT_FIRST_NAME}} {{CLIENT_LAST_NAME}}<br/>
Congratulations! Your project has been successfully completed. Thank you for choosing {{GLOBAL_COMPANY_NAME}}.","[""Admin"",""Staff"",""Client""]",,,N/A,,/dashboard,,,/project/dashboard,/dashboard,2025-08-06T21:53:31.889053+00:00,2025-08-06T21:53:31.889053+00:00
